Desc1,Desc2,Desc3,Desc4,Desc5
99291,6.30487,0.225916,0.033807,7.31562
5.39637,1.71165,0.437959,0.0695589,5.63447
7.94178,2.00648,0.398428,0.0692222,5.7529
40.8004,4.7738,0.202275,0.0372111,6.96058
10571,2.3192,0.374941,0.0856303,5.29596
49.3333,5.45194,0.171104,0.0430887,6.67844
42.2935,4.62405,0.210589,0.0414273,6.79959
33.2253,3.94163,0.270864,0.0409143,6.86431
33.4274,4.20318,0.229925,0.0457759,6.46183
113089,7.58274,0.145659,0.0390621,6.92291
20705,3.25685,0.285926,0.0469519,6.46131
9.01579,2.32201,0.342301,0.0653416,5.79466
68.7813,5.40255,0.220347,0.0378611,7.10438
39.7749,3.52325,0.304621,0.062253,6.10955
42.7916,4.50479,0.244738,0.0456667,6.63391
45.1413,2.24309,0.442958,0.0767416,5.47565
263084,12.1313,0.0942688,0.0249135,7.62749
57.3955,4.90312,0.234783,0.0391393,6898
161912,9.68698,0.108504,0.0250906,7.61691
67.4793,6.3287,0.152205,0.0340393,7.0956
139232,3.79342,0.434543,0.0762088,5.51012
46.5046,4.5556,0.254953,0.0442112,6.79038
202579,9.90162,0.130656,0.0231877,7.92536
20.8619,3.18057,0.308017,0.0634003,6.02847
3.90078,1.48515,0.46936,0.0789229,5.42835
18892,3.04407,0.319294,0.0587012,6.05384
31.2107,3.99747,0.252792,0.045448,6.47403
19.7791,3.27682,0.279215,0.0493357,6.41591
18.8699,3.1649,0.292275,0.0537123,6.23561
18.8473,3.16252,0.292339,0.0536858,6.23624
52.2184,5.63665,0.168542,0.044946,6.52182
10.4715,2.28567,0.375671,0.0660454,5.87243
15.2031,2.27972,0.410636,0.0826382,5.5619
22.3166,3126,0.316728,0.0532075,6.27419
159227,9.05979,0.121919,0.0215821,7.93976
918929,16.5363,0.191899,0.0463792,6.68824
25.4972,3.63637,0.267843,0.0455479,6.57762
57.2827,4.9,0.234214,0.0391697,6.89667
71.0408,5.81446,0.198037,0.0387774,7.00732
52.1127,4.66551,0.248404,0.0430667,6.77339
34.9936,3.92877,0.264323,0.0496298,6.52822
21.2991,3.24984,0.305617,0.0538666,6.23556
44.7689,5.10406,0.185335,0.0368508,6.97401
19.6388,3.26315,0.2815,0.0494174,6.41294
52.1718,4.7651,0.228751,0.034585,7.20784
1982.68,29.3359,0.0631411,0.0510992,6.05195
15.7666,2.90474,0.310055,0.0524806,6.23684
31.7844,4.02896,0.246213,0.0478988,6.50642
77.5332,6.67232,0.148864,0.0255729,7.58009
34.9296,3.71559,0.320264,0.0538192,6.29903
62.7694,5.76411,0.174207,0.0334779,7.16312
13.7402,2.82514,0.302866,0.0534324,6.28897
10.0339,2.38625,0.343519,0.0660964,5.82268
40.0237,4.71832,0.209004,0.0407187,6.65817
52.4463,5.52751,0.1737,0.0372118,6.89673
3.82776,1.36843,0.51287,0.0868755,5.22294
59.9238,5.38429,0.207884,0.0363698,7.08116
46.3079,5.15003,0.186427,0.0423872,6.67683
16.6992,2.96304,0.311679,0.0565808,6.02833
40.9077,4.77989,0.20276,0.0371166,6.9655
61.4336,5.94647,0.162261,0.0319294,7.17747
204078,9.94391,0.129155,0.023095,7.93147
906.75,16.4641,0.190815,0.0458038,6.72058
